RawSample;OverSampled;RawNumber;OverNumber
0.5;0.25;16;32
0.5625;0.257812;18;33
0.59375;0.265625;19;34
0.625;0.28125;20;36
0.6875;0.304688;22;39
0.75;0.328125;24;42
0.71875;0.34375;23;44
0.75;0.359375;24;46
0.8125;0.375;26;48
0.875;0.390625;28;50
0.84375;0.40625;27;52
0.84375;0.421875;27;54
0.875;0.429688;28;55
0.90625;0.429688;29;55
0.875;0.4375;28;56
0.875;0.4375;28;56
0.875;0.4375;28;56
0.78125;0.421875;25;54
0.78125;0.414062;25;53
0.75;0.398438;24;51
0.71875;0.375;23;48
0.6875;0.367188;22;47
0.59375;0.34375;19;44
0.625;0.328125;20;42
0.5625;0.304688;18;39
0.5;0.28125;16;36
0.40625;0.257812;13;33
0.40625;0.234375;13;30
0.3125;0.203125;10;26
0.3125;0.179688;10;23
0.25;0.15625;8;20
0.21875;0.132812;7;17
0.1875;0.117188;6;15
0.15625;0.101562;5;13
0.09375;0.078125;3;10
0.0625;0.0625;2;8
0.09375;0.046875;3;6
0.09375;0.0390625;3;5
0.09375;0.0390625;3;5
0.09375;0.046875;3;6
0.09375;0.046875;3;6
0.09375;0.046875;3;6
0.15625;0.0546875;5;7
0.15625;0.0625;5;8
0.21875;0.078125;7;10
0.25;0.09375;8;12
0.28125;0.109375;9;14
0.3125;0.132812;10;17
0.375;0.148438;12;19
0.4375;0.171875;14;22
0.46875;0.195312;15;25
0.53125;0.226562;17;29
0.59375;0.25;19;32
0.59375;0.273438;19;35
0.71875;0.304688;23;39
0.75;0.328125;24;42
0.78125;0.351562;25;45
0.75;0.375;24;48
0.8125;0.382812;26;49
0.8125;0.390625;26;50
0.84375;0.398438;27;51
0.875;0.414062;28;53
0.90625;0.429688;29;55
0.875;0.4375;28;56
0.84375;0.4375;27;56
0.875;0.4375;28;56
0.8125;0.421875;26;54
0.8125;0.414062;26;53
0.78125;0.40625;25;52
0.75;0.390625;24;50
0.71875;0.382812;23;49
0.6875;0.367188;22;47
0.65625;0.351562;21;45
0.59375;0.328125;19;42
0.53125;0.304688;17;39
0.5;0.28125;16;36
0.4375;0.257812;14;33
0.40625;0.234375;13;30
0.34375;0.210938;11;27
0.28125;0.179688;9;23
0.25;0.15625;8;20
0.25;0.140625;8;18
0.21875;0.125;7;16
0.15625;0.109375;5;14
0.125;0.09375;4;12
0.09375;0.0703125;3;9
0.09375;0.0546875;3;7
0.09375;0.046875;3;6
0.09375;0.046875;3;6
0.125;0.046875;4;6
0.09375;0.046875;3;6
0.125;0.0546875;4;7
0.125;0.0546875;4;7
0.1875;0.0625;6;8
0.25;0.0859375;8;11
0.25;0.101562;8;13
0.28125;0.117188;9;15
0.34375;0.140625;11;18
0.375;0.15625;12;20
0.4375;0.179688;14;23
